function,desc,arguments
Modify_String,"This subroutine changes the value of a substring in a target string to the value of a 
substring copied from a source string.  It can be called by either Background or 
Foreground CL Blocks. 
 
Where: “s” is a $MODSTR enumeration value expressing return status. 
 
 “ts” is the target string to be modified (IN OUT) 
 “tp” is the index to the first character of the target string to modified 
 “n” is the number of characters to move from the source string to the target string 
 “ss” is the string from which characters will be fetched  
 “sp” is the index to the first character to be fetched from the source string 
 
If the number of characters (n) is greater than the number of characters between the 
source position index (sp) and the end of the source string, only the number of 
characters that exist in the source substring are moved to the target substring.  A status 
of “OK” is returned. 
 
If the number of characters (n) is greater than the number of characters between the 
target position index (tp) and the end of the target string, the number of characters that 
will be moved is limited by the maximum target string length of 78 characters.  A 
status of “OK” is returned. 
If the target position index (tp) is greater than 78, or the source position index (sp) is 
greater than the length of the source string, a status of FAILED is returned.   
 
If the target position index (tp) is greater than the current length of the target string, 
blanks will be inserted between the current length position and the target position.",TRUE
Move_Parameter,"This subroutine fetches a parameter value, copies it to a specified destination, and 
returns a success/fail status value.   
 
Where: “x” identifies the parameter that is to receive the value (destination data). 
 
 “y” identifies the parameter value to be fetched (source data).   
 
 “s” is a CLERRSTS enumeration value that defines the success or failure of 
the store request. 
The parameters being moved can be scalar (single elements), array elements, or entire 
arrays.  The parameters may be on on-LCN or off-LCN points.  The source and 
destination data types must match (see exceptions following) and, when an entire array 
is referenced, the array sizes also must match.  Attempting to move entire arrays of 
strings generates a runtime configuration error (CONFERR).  The requirement for data 
type matching allows these exceptions: 
 
 • Transfers between LCN Real and Integer data types are allowed. 
 • Transfers between LCN Enumeration and Self-Defined Enumeration data types are 
allowed as long as the value does not exceed the target enumeration range. ",TRUE
Now,Now returns wall-clock time (seconds since midnight of the current day). ,FALSE
Number,"Number (t) 
This function takes a Time expression (t) as input and returns the resulting time 
duration as a number.  The returned value is the number of seconds represented by the 
time expression.  Time has greater precision than number so the returned value may be 
less precise than the time expression (see heading 2.5.3.5). ",TRUE
Number_to_String,"This subroutine creates a human readable characterization of a real number.  It can be 
called by either Background or Foreground CL Blocks. 
 
Where: “s” will contain the return status of the store request. 
  OK = successful conversion 
  BADFORM = the format string was incorrect 
  BADVALU = the number provided was bad 
 
 “str” will contain the character representation of the specified real value 
 
 “i” identifies the number to convert 
 
 “f” is a format specification describing the desired character representation of 
the converted number.  Format specifications are as described in Appendix A 
of the Picture Editor Reference Manual.  Number_to_String accepts only 
format specifications “Real” and “Unknown”.  There is no default, thus a 
value must be specified for this argument. ",TRUE
Ord,"Ord (e) 
This function takes the current state of a standard enumeration, custom enumeration, 
or self-defining enumeration and returns a number value (where zero represents the 
first enumeration member).  The enumeration can be in a CL LOCAL variable, a 
parameter on the Bound Data Point, or a parameter on another point.  The CL will 
abort on any of these errors: 
1) Reference is not to an enumeration or self-defining enumeration (“cnferr” error 
returned at runtime). 
2) Reference specifies a whole array (“cnferr” error returned at runtime). 
3) Cannot access enumeration of the point referenced (runtime error type is data 
owner dependent).",TRUE
Round,"Round (x) -- round to integer  where x, is number. Returns a number.",TRUE
Self,"This function returns the slot number of the currently executing CL/AM block.  For 
example, suppose a CL/AM block needs to read the parameter CLBLKERR to 
determine whether any errors occurred the previous time the block executed.  A data 
point can have many CL/AM blocks; therefore, all parameters of the CL/AM segment 
that deal with individual blocks, like CLBLKERR, are arrays indexed by slot number. 
A CL/AM block must be able to discover its slot number, because the slot number can 
change as blocks are linked and unlinked to the point. This function is the mechanism 
provided to do so; therefore, the statement 
  IF clblkerr(SELF) <> noerror THEN 
 & SEND: ""Error last time I ran"" 
 
could be used to determine if the block had errors the last time it executed.",FALSE
Set_Bad,"Set_Bad (x) 
This subroutine stores the bad value bit pattern into the numeric variable x. ",TRUE
Set_Null_Point_id,"Set_Null_Point_id (p, s) 
This subroutine will store a null point identifier to a CDS parameter (p) of type data 
point identifier (this can be either a single CDS parameter or a subscripted element of 
an array) and returns a success/fail status (s).  The status is a CLERRSTS enumeration 
value that will be abnormal for any of the following reasons: 
1) point_id specifies an entire array (cnferr). 
2) destination  is not a CDS of type point_id (cnferr). 
3) store failed (data owner dependent) 
 
For CL Blocks compiled on Release 400 and subsequent releases, a call to the 
Set_Null_Point_id subroutine first fetches the value of the parameter to determine the 
LCN identifier of the point, and then will store the null point identifier with the correct 
LCN identifier. 
 
For CL Blocks compiled prior to Release 400, a call to the Set_Null_Point_id 
subroutine stores an on-LCN null point id into the referenced parameter.  If the 
parameter contains an off-LCN point id, the LCN indication is lost, and a reference to 
that parameter generates a configuration error at runtime.  If you need to be able to 
retain an off-LCN indication in the parameter for these blocks, unlink, recompile the 
CL Block on Release 400 and relink the block. 

Off-node store requests initiated from Background CL Blocks take place immediately, 
while off-node store requests initiated from foreground blocks take place at the end of 
point processing. ",TRUE
Sin,"Sin (x) -- sine  where x, is number. Returns a number.",TRUE
Sqrt,"Sqrt (x) -- square root  where x, is number. Returns a number.",TRUE
Sum,"Sum (x, y, ...) -- sum  where x, is number. Returns a number.
Sum (x) -- sum where x is an array. Returns a number.",TRUE
Tan,"Tan (x) -- tangent  where x, is number. Returns a number.",TRUE
Finite,"Finite (X) returns ON if, and only if, X is Finite; that is, neither a bad value nor an infinite 
value. ",TRUE
Badval,"Badval(X) 
returns ON if, and only if, X is a bad value",TRUE
Day_Time,Built-in Function (MC only),FALSE
File$Create_File,"This routine creates a new file. 
 
SUBROUTINE File$Create_File 
 (Return_Status       : OUT NUMBER; -- File R/W package error status 
  File_Manager_Status : OUT NUMBER; -- File Manager error enumeration 
  Max_Record_Length   : IN  NUMBER; -- Number of Characters per record 
  Path                : IN  STRING) -- Full path of file to be created 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
It creates a file of variable length records with the maximum number of characters allowed in a 
record specified by Max_Record_Length.  The Max_Record_Length may be from 1 to 15,666. 
 
""Path"" must specify the pathname of a file on the history module or a floppy/cartridge (see 
heading C.2.4). 
If the file already exists, an error is returned and the file is not opened. 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 4.0 — File already exists 
 7.0 — File table for the specified volume is full 
 9.0 — Volume does not exist (or in some cases is not mounted) 
 10.0 — No more space on the volume 
 12.0 — Other File Manager error 
 29.0 — File reserved for another operation 
 38.0 — Invalid record length in Create_File or Open_File call ",TRUE
File$Open_File,"Before a file can be read from or written to, it must be opened.  You should close files after all 
reading/writing is complete even though they are automatically closed when a CL Block 
terminates or is aborted. 
 
SUBROUTINE File$Open_File 
  (Return_Status       : OUT NUMBER; -- File R/W package error status 
   File_Manager_Status : OUT NUMBER; -- File Manager error status 
   File_Number         : OUT NUMBER; -- File id used on subsequent calls 
   Number_Of_Records   : OUT NUMBER; -- Number of records now in file. 
   Buffer_Size         : IN  NUMBER; -- Maximum characters per record. 
   Path                : IN  STRING; -- Full name of file to be opened. 
   Access_privilege    : IN  NUMBER) -- File access type 
 
This subroutine can only be called from a CL block linked to a background insertion point.  All 
operations performed on a file (e.g., read, write, close) must be done from the CL Block that 
opens the file. 
 
This subroutine opens an existing file containing variable length records.  ""Path"" must specify 
the pathname of a file on the history module or a floppy/cartridge (see heading C.2.4).  If the 
file does not exist, an error is returned. 
 
Buffer_Size specifies the number of characters allocated for the I/O buffer used to hold records 
read from or written to the file (i.e., the current record). ",TRUE
File$Put_Field,"This routine writes values to fields in the specified file’s current record. 
 
SUBROUTINE File$Put_Field 
  (Return_Status : OUT NUMBER; -- File R/W package error status 
   DA_Status     : OUT NUMBER; -- Data Access error status 
   Character_Ptr : IN OUT NUMBER; -- Offset to beginning of field 
   File_Number   : IN NUMBER; -- File id from open_file call 
   Input_Value   : IN cl_type; -- Value to be converted (cannot be  
 -- self-defined enumeration type) 
   Format        : IN STRING; -- Specified format of field 
   Suffix        : IN STRING) -- Suffix added to field 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Put_Field takes an Input_Value in internal form, converts it to a string and places it at the 
Character_Ptr position in the current record. 
 
If Input_Value is an array, the CL Block is aborted.  To convert an array each element must be 
converted separately. 
 
Character_Ptr is the character-offset from the beginning of the record to the beginning of the 
field to be written.  When Put_Field returns it will contain the position of the character after the 
written field.  Note that the character pointer must be initialized (normally to 1) the first time a 
field is placed in a record.  Normally, when sequential calls are used to create a single record 
image, the Character_Ptr value returned on previous calls is passed without change on 
subsequent Put_Field calls, but Character_Ptr can be set to any position. 
 
Character_Ptr may be set to point beyond the last character written to the current record and the 
record is blank filled from the character position after the last character to the one preceding that 
pointed to by Character_Ptr.  Character_ptr may point at a previously written field in the current 
record and characters in that field will be overwritten. 
 
The string Suffix is an optional value appended to the field.  Normally, Suffix is a single 
delimiter such as a comma or a space, but any string is allowed. 
 
File_Number must be the value returned on a previous Open_File call. 
 
Format is a specification of how the external value will appear after conversion.  If Format is set 
to the empty string (i.e., """") the default format specification is used.  The default format 
specification for the various data types are: 
 
number R-ZZZZ9.99 
logical  TEXTL1:5 
string  TEXTL1:10 
time    DATE MM-DD-YY ENDATE 
enumeration TEXTL1:10 
entity (point id) TEXTL1:10 ",TRUE
File$Put_Field_S," 
This routine writes values to fields in a CL or CDS string. 
 
SUBROUTINE File$Put_Field_S 
  (Return_Status : OUT NUMBER; -- File R/W package error status 
   DA_Status     : OUT NUMBER; -- Data Access error status 
   Character_Ptr : IN OUT NUMBER; -- Pointer to field 
   Output_String : IN OUT STRING; -- String to place field in 
   Input_Value   : IN cl_type; -- Value to be converted (cannot be  
 -- self-defined enumeration type) 
   Format        : IN STRING; -- Specified field format 
   Suffix        : IN STRING) -- Suffix added to field 
 
This subroutine can be called from CL blocks linked to any insertion point. 
 
The Put_Field_S function takes Input_Value in internal form, converts it to external form and 
places it, beginning at the Character_Ptr position, in Output_String. 
 
Output_String can be either a local CL string or a CDS string parameter. 
 
If Input_Value is an array, the CL is aborted.  To convert an array each element must be 
converted separately. 
 
Suffix is an optional value appended to the field.  Normally, suffix is a single delimiter such as a 
comma or a space, but any string is allowed. 
 
Character_Ptr is the character-offset from the beginning of the string to the beginning of the 
field to be written.  It is returned with the position of the character after the written field.  
Normally, the Character_Ptr value returned on previous calls is passed on subsequent calls, but 
Character_Ptr can be set to any position in the string. 
 
The length of Output_String is updated each time a Put_Field_S causes Output_String to be 
extended.  Note that it is recommended that Output_String be initialized with a null string (i.e., 
"""") to set its length to zero before putting the first field into it. 
 
Character_Ptr can be set to point beyond the current length of the string and the string will be 
blank filled from the current end of the string to the character preceding the one pointed to by 
Character_Ptr.  Character_Ptr may point at any character in the string and that character, and 
subsequent characters, will be overwritten with the new converted value. 
 
Format is a specification of how the external value will appear after conversion.  The default 
format specification for the various data types are: 
 
number  R-ZZZZ9.99 
logical     TEXTL1:5 
string  TEXTL1:10 
enumeration TEXTL1:10 
entity (point id)     TEXTL1:10 
time    DATE MM-DD-YY ENDATE ",TRUE
File$Write_Record,"This routine writes a file’s current record to that file. 
 
SUBROUTINE File$Write_Record 
  (Return_Status       : OUT NUMBER;    -- File R/W package error status 
   File_Manager_Status : OUT NUMBER;    -- File Manager error status 
   File_Number         : IN  NUMBER;    -- File id from Open_File call 
   Record_Number       : IN OUT NUMBER) -- Record number to write 
 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Record_Number specifies the record to be written or overwritten.  If Record_Number is zero, 
the record is appended to the end of the file.  On appends, the number of the record written is 
returned in Record_Number.  If the record pointed to by Record_Number already exists, the 
new record must have the same record length as the existing record.  The record is not altered in 
any way if an error occurs during a write (the data in the record is not erased). 
 
File_Number must be the value returned on a previous Open_File call. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 6.0 — Device error while reading file 
 10.0 — No more space on the volume 
 11.0 — Read or write beyond end of file 
 12.0 — Other File Manager error 
 13.0 — File number is invalid 
 20.0 — Can't read file control table pointer 
 31.0 — Invalid record number 
 34.0 — Number not assigned to this CL Block—access denied",TRUE
File$Read_Record,"This routine reads a record from a file to the file’s current record. 
 
SUBROUTINE File$Read_Record 
  (Return_Status       : OUT NUMBER; -- File R/W package error status 
   File_Manager_Status : OUT NUMBER; -- File Manager error status 
   File_Number         : IN  NUMBER; -- File id from Open_File call 
   Record_Size         : OUT NUMBER; -- Characters in read record 
   Record_Number       : IN  NUMBER) -- Number of record to read 
 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Read_Record reads the record specified by Record_Number from the file indicated by 
File_Number.  File_Number must be the value returned on a previous Open_File call. 
 
Record_Size is returned with the number of characters in the record just read. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 6.0 — Device error while reading file 
 11.0 — Read or write beyond end of file 
 12.0 — Other File Manager error 
 13.0 — File number is invalid 
 20.0 — Can't read file control table pointer 
 31.0 — Invalid record number 
 34.0 — Number not assigned to this CL Block—access denied 
 35.0 — Maximum record length exceeded 
 36.0 — Can't access file (due to HM failure, etc.) ",TRUE
File$Get_Field,"This routine reads values from fields in the specified file’s current record. 
 
SUBROUTINE File$Get_Field 
  (Return_Status : OUT NUMBER; -- File R/W package error status 
   DA_Status     : OUT NUMBER; -- Data Access error status 
   Character_Ptr : IN OUT NUMBER; -- Character offset to the field 
   File_Number   : IN  NUMBER; -- File number from Open_File call 
   Output_Value  : OUT cl_type; -- Variable of any valid CL data type 
 -- excepting self-defined enumeration 
   Field_Width   : IN  NUMBER)  -- Width of field (for output  
 -- 
strings) 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Get_Field extracts an external value from a field in the current record of the specified file, 
converts it to internal form and stores it into Output_Value.  Character_Ptr must point to the 
beginning of the field.   Anticipated field delimiters are: Space, Comma, Left Parenthesis, Right 
Parenthesis, Colon, Semicolon, and Carriage Return. 
 
The following applies only to Output_Values not of type ""string"": 
 
Get_Field scans the current record from left to right skipping any leading blank characters and 
extracts characters until it finds a delimiter.  
 
After the extracted external value is converted to internal form and stored in Output_Value, 
Character_Ptr is adjusted to point to the character after the delimiter. 
 
For Output_Values of data type ""string,"" the following special rules apply: 
 
Field_Width specifies the number of consecutive characters that will be moved into 
Output_Value.  Any field delimiters found among these characters are considered to be part of 
the string.  Character_Ptr is returned pointing at the character immediately following the last 
character transferred.  (Please note that, depending on the record structure, Character_Ptr 
could wind up pointing to data, or to a field delimiter, or it could be pointing outside the 
record). 
 
If File$Strip_Blanks (see heading C.6.26) was last called with Strip set to ""ON"" (or if 
File$Strip_Blanks was never called by this program), any leading blank characters are skipped 
over and the count of characters to be transferred starts at the first non-blank character.  If 
only blanks remain in the current record, Return_Status is set to 14.0. 
 
If File$Strip_Blanks was last called with Strip set to ""OFF,"" the character pointed to by 
Character_Ptr (blank or not) becomes the first of the specified number of characters to be 
moved to Output_Value. 
 
If the extracted string is a self-defined enumeration, you can convert it to internal form by using 
the ""File$Convert_SDE_To_Internal"" subroutine. ",TRUE
File$Get_Field_S,"This routine reads values from a string variable. 
 
SUBROUTINE File$Get_Field_S 
  (Return_Status : OUT NUMBER; -- File R/W package error status 
   DA_Status     : OUT NUMBER; -- Data Access error status 
   Character_Ptr : IN OUT NUMBER; -- Character offset to the field 
   Input_String  : IN  STRING; -- String to read field from 
   Output_Value  : OUT cl_type; -- Variable of any valid CL data type 
 -- excepting self-defined enumeration 
   Field_Width   : IN  NUMBER) -- Field width (for output strings) 
 
 
This subroutine can be called from CL blocks linked to any insertion point. 
 
Input_String can be either a local CL string or a CDS string parameter. 
 
Get_Field_S extracts an external value from a field within an Input_String, converts it to 
internal form and stores it into Output_Value.  Character_Ptr must point to the beginning of the 
field.  Get_Field_S scans Input_String from left to right skipping any leading blank characters 
and extracts characters until it finds a delimiter. 
 
After the extracted string is converted to internal form and stored in Output_Value, 
Character_Ptr is adjusted to point to the character after the delimiter. 
 
If the extracted string is a self-defined enumeration, you can convert it to internal form by using 
the ""File$Convert_SDE_To_Internal"" subroutine. 
 
For output_values of data type ""string,"" the width of the field is specified by Field_Width.  The 
string starts with the first non-blank character in the field and Character_Ptr is adjusted to point 
to the character after the number of characters specified by Field_Width.  Note that leading 
blanks on a string can cause problems since blanks are used both as delimiters and for fill 
characters; therefore, correct field length is important. 
 
Anticipated field delimiters are: 
 
- Space 
- Comma 
- Left Parenthesis 
- Right Parenthesis 
- Colon 
- Semicolon 
- Carriage Return ",TRUE
File$Close_File,"This routine closes a previously opened file. 
 
SUBROUTINE File$Close_File 
  (Return_Status        : OUT NUMBER; -- File R/W package error status 
   File_Manager_Status  : OUT NUMBER; -- File Manager error status 
   File_Number          : IN NUMBER)  -- File id from Open_File 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
File_number is the value returned by the Open_File call. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 6.0 — Device error while reading file 
 12.0 — Other File Manager error 
 13.0 — File number is invalid 
 20.0 — Can't read file control table pointer 
 34.0 — Number not assigned to this CL Block—access denied",TRUE
File$Copy_Record,"This routine copies the current record associated with one open file to the current record 
associated with another open file. 
 
SUBROUTINE File$Copy_Record 
   (Return_Status       : OUT NUMBER; -- File R/W package error status 
    Source_File         : IN  NUMBER; -- File id from Open_File 
    Destination_File    : IN  NUMBER) -- File id from Open_File 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Copy_Record makes a copy of the current record (see heading C.2.7 for the definition of current 
record) of Source_File and puts it in the current record of Destination_File.  Any data in the 
current record of Destination_File is overwritten.  Note that a File$Write_Record of the current 
record of Destination_File must be done to get the record out to the file. 
 
If the memory allocated to the current record of Destination_File is insufficient to hold the 
contents of the current record of Source_File, the current_record of Destination_File is filled 
with as much of the current record of source_file as will fit and Return_Status will be 32.0 (Data 
placed in destination file record was truncated). 
 
Source_File and Destination_File must be the values returned on previous Open_File calls. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 13.0 — File number is invalid 
 20.0 — Can't read file control table pointer 
 32.0 — Record was truncated 
 34.0 — Number not assigned to this CL Block—access denied ",TRUE
File$Copy_File,"This routine makes a copy of an existing file. 
 
SUBROUTINE File$Copy_File 
  (Return_Status         : OUT NUMBER; File R/W package error status 
   File_Manager_Status   : OUT NUMBER; File Manager error status 
   Offender              : OUT NUMBER; File to which status pertains 
   Source_File_Path      : IN  STRING; Pathname of source file. 
   Destination_File_Path : IN  STRING) Pathname of destination file. 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Offender specifies the file to which the status fields refer (0=source, 1=destination, 
2=temporary, 3=status is not specific to a file). 
 
This call is used to copy one file and its attributes (e.g., protection, max_record_length) to 
another file.  If the destination file does not exist, it is created by the file manager.  If the 
destination file exists, it is deleted, then recreated with the attributes of the source file and the 
source file is copied into it.  The source file is opened with ""shared read no write.""  The 
destination file is opened with ""exclusive read/write.""  If the source file contains no records, the 
destination file is created with no records. 
 
This subroutine can be used to copy a file from one LCN to another LCN.  When either the 
source or destination is on a remote LCN, that file must be on a History Module. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 3.0 — File privilege violation 
 4.0 — File already exists (new file) 
 5.0 — File does not exist (old file) 
 6.0 — Device error while reading file 
 7.0 — File table for the specified volume is full 
 9.0 — Volume does not exist (or in some cases is not mounted) 
 10.0 — No more space on the volume 
 12.0 — Other File Manager error 
 22.0 — Maximum number of files already open 
 28.0 — File already open 
 29.0 — File reserved for another operation 
 35.0 — Maximum record length exceeded 
 36.0 — Can't access file (due to HM failure, etc.) ",TRUE
File$Exists,"This routine determines if a given file exists. 
 
SUBROUTINE File$Exists 
  (Return_Status       : OUT NUMBER;  -- File R/W package error status 
   File_Manager_Status : OUT NUMBER;  -- File Manager error status 
   Path                : IN  STRING;  -- Name of file to search for. 
   File_Exists         : OUT LOGICAL) -- Indicates if file exists. 
 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
The Exists subroutine determines whether the file named in Path exists.  If it exists, File_Exists 
is ON; if it does not exist File_Exists is OFF.  Question marks in the file name in Path are 
illegal. 
 
This subroutine can be used to determine if a file exists on another LCN.  In this case, the file to 
be checked for must be on a History Module. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 6.0 — Device error while reading file 
 9.0 — Volume does not exist (or in some cases is not mounted) 
 12.0 — Other File Manager error 
 28.0 — File already open 
 29.0 — File reserved for another operation 
 36.0 — Can't access file (due to HM failure, etc.) ",TRUE
File$Find_Field_Pointer," 
This routine finds a field in the specified file’s current record. 
 
SUBROUTINE File$Find_Field_Pointer 
  (Return_Status   : OUT NUMBER; -- File R/W package error status 
   Character_Ptr   : OUT NUMBER; -- Character offset to field 
   Field_Number    : IN  NUMBER; -- Number of the requested field 
   File_Number     : IN  NUMBER; -- File id from Open_File call 
   Field_Delimiter : IN  STRING; -- Character that separates fields 
   Escape_Marker   : IN  STRING) -- Character to jump over on scan 
 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Character_Ptr is returned with the character position of the beginning of the field specified by 
Field_Number.  Note that if the requested field is empty (i.e., two consecutive field delimiters) 
the pointer will be set to the character position of the first delimiter.  A request via 
File$Get_Field to get the contents of an empty field results in a conversion error. 
 
Field_Delimiter is the character used to separate fields in the current record of the file specified 
by File_Number.  If Field_Delimiter does not occur in the current record, Return_Status will be 
14.0. 
 
Escape_Marker is an optional value that specifies a character which is used to bracket a string 
of characters which will not be searched for Field_Delimiter. 
 
Only the first character of Field_Delimiter or Escape_Marker is used. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 13.0 — File number is invalid 
 14.0 — Attempt to read/write field beyond end of buffer 
 20.0 — Can't read file control table pointer 
 30.0 — Invalid field number 
 34.0 — Number not assigned to this CL Block—access denied",TRUE
File$Find_Field_Pointer_S,"This routine finds a field in a string. 
 
SUBROUTINE File$Find_Field_Pointer_S 
  (Return_Status   : OUT NUMBER; -- File R/W package error status 
   Character_Ptr   : OUT NUMBER; -- Character offset to field 
   Field_Number    : IN  NUMBER; -- Number of the requested field 
   Input_String    : IN  STRING; -- String to be scanned 
   Field_Delimiter : IN  STRING; -- Character that separates fields 
   Escape_Marker   : IN  STRING) -- Character to jump over on scan 
 
 
This subroutine can be called from CL blocks linked to any insertion point. 
 
Character_Ptr is returned with the character position of the beginning of the field specified by 
Field_Number.  Note that if the requested field is empty (i.e., two consecutive field delimiters) 
the pointer will be set to the character position of the first delimiter.  A request via 
File$Get_Field_S to get the contents of an empty field results in a conversion error. 
 
Field_Delimiter is the character used to separate fields in the Input_String. 
 
Escape_Marker is an optional value that specifies a character which is used to bracket a string 
of characters which will not be searched for Field_Delimiter. 
 
Only the first character of Field_Delimiter or Escape_Marker is used. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 24.0 — Attempt to read/write field beyond end of string 
 30.0 — Invalid field number ",TRUE
File$Set_Null,"This routine sets the length of the current record to zero. 
 
SUBROUTINE File$Set_Null 
   (Return_Status : OUT NUMBER; -- File R/W package error status 
    File_Number   : IN  NUMBER) -- File id from Open_File call. 
 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
This call sets the current record length to 0.  The maximum record length specified on the 
Open_File call is not affected. 
 
File_Number is the value returned from an Open_File call. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 13.0 — File number is invalid 
 20.0 — Can't read file control table pointer 
 34.0 — Number not assigned to this CL Block—access denied ",TRUE
File$Blank_Fill,"This routine places a string of blank characters into the specified file’s current record. 
 
SUBROUTINE File$Blank_Fill 
   (Return_Status     : OUT NUMBER;    -- File R/W package error status 
    Character_Ptr     : IN OUT NUMBER; -- Offset at which to start fill 
    Fill_to_Character : IN  NUMBER;    -- Offset at which to end fill 
    File_Number       : IN  NUMBER)    -- File id from Open_File call. 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
This call fills the current record of the file specified by File_Number with blanks from the 
Character_Ptr position up to, and including, the Fill_To_Character position. 
 
If the Character_Ptr is equal to, or larger than, the Fill_to_Character, nothing is done. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 13.0 — File number is invalid 
 14.0 — Attempt to read/write field beyond end of buffer 
 20.0 — Can't read file control table pointer 
 34.0 — Number not assigned to this CL Block—access denied 
 40.0 — Invalid character pointer ",TRUE
File$Blank_Fill_S,"This routine places a string of blank characters into a string. 
 
SUBROUTINE File$Blank_Fill_S 
   (Return_Status     : OUT NUMBER;     -- File R/W package error status 
    Character_Ptr     : IN  OUT NUMBER; -- Offset at which to start fill 
    Fill_to_Character : IN  NUMBER;     -- Offset at which to end fill 
    Output_String     : IN  OUT STRING) -- String to place blanks in 
 
 
This subroutine can be called from CL blocks linked to any insertion point. 
 
This call fills the string Output_String with blanks from the Character_Ptr position up to, and 
including, position specified by Fill_to_Character. 
 
If the Character_Ptr is equal to, or larger than, the Fill_to_Character, nothing is done. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 24.0 — Attempt to read/write field beyond end of string 
 40.0 — Invalid character pointer ",TRUE
File$Rename,"This routine changes the name of an existing file. 
 
SUBROUTINE File$Rename 
   (Return_Status       : OUT NUMBER; -- File R/W package error status 
    File_Manager_Status : OUT NUMBER; -- File Manager error status 
    Old_File_Path       : IN  STRING; -- Existing file’s name 
    New_Name            : IN  STRING; -- New file name 
    New_Extension       : IN  STRING) -- New file extension 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Rename_File changes the name of the file specified by Old_File_Path to the name specified by 
New_Name and New_Extension.  The file must be closed and unprotected or an error code is 
returned. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 3.0 — File privilege violation 
 4.0 — File already exists (new file) 
 5.0 — File does not exist (old file) 
 9.0 — Volume does not exist (or in some cases is not mounted) 
 12.0 — Other File Manager error 
 26.0 — Bad file name 
 27.0 — Bad file extension 
 28.0 — File already open 
 29.0 — File reserved for another operation ",TRUE
File$Safe_Rename,"This routine takes the name of an existing file and gives it to a new file of the same type. 
 
SUBROUTINE File$Safe_Rename 
  (Return_Status       : OUT NUMBER; -- File R/W package error status 
   File_Manager_Status : OUT NUMBER; -- File Manager error status 
   Old_File_Path       : IN  STRING; -- File whose identity is stripped 
   Temporary_Name      : IN  STRING; -- Name of file to be renamed 
   Temporary_Extension : IN  STRING) -- Extension of file to be renamed 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Safe_Rename gives the full pathname of the original file (specified by Old_File_Path) to the 
Temporary File (Temporary_Name.Temporary_Extension) and deletes the original file.  Both 
files must be unprotected, on the same volume and closed. 
 
This method of renaming a file ensures that the file is not corrupted if a remote node fails in the 
middle of a rename operation.   
 
To use this function, first create a Temporary File (see heading C.2.11) which holds the contents 
of the original file, then modify the temporary file.  Once the modifications are complete, 
invoke the Safe_Rename routine to complete the operation. 
 
If the history module fails during the safe rename operation, two files with the same name could 
exist.  During startup of the history module the file manager checks for duplicate file names and 
deletes the one with the oldest time stamp. 
 
If the node which initiated the safe rename function fails before the safe rename operation is 
complete, the temporary file is renamed and the original file is deleted. 
 
If the Old_File_Path file or the Temporary_Name file is open when this subroutine is called, a 
File Reserved for Another Operation error code is returned. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 3.0 — File privilege violation 
 5.0 — File does not exist (old file) 
 6.0 — Device error while reading file 
 9.0 — Volume does not exist (or in some cases is not mounted) 
 12.0 — Other File Manager error 
 22.0 — Maximum number of files already open 
 26.0 — Bad file name 
 27.0 — Bad file extension 
 29.0 — File reserved for another operation ",TRUE
